timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
4.60;161.02;1;163498800#1_0;18.83;0.00;7.20;DEFAULT_VEHTYPE;-1.645986;42.813506
4.60;309.95;2;27710535#1_0;12.49;0.00;5.17;DEFAULT_VEHTYPE;-1.656212;42.807627
4.60;74.49;3;817341820#0_0;8.18;0.00;3.47;DEFAULT_VEHTYPE;-1.641617;42.806522
4.60;112.66;4;189609904#1_0;5.62;0.00;1.45;DEFAULT_VEHTYPE;-1.652504;42.808685
4.70;134.41;0;26129071#3_0;28.48;0.00;8.81;DEFAULT_VEHTYPE;-1.658050;42.807336
4.70;161.02;1;163498800#1_0;19.58;0.00;7.44;DEFAULT_VEHTYPE;-1.645983;42.813500
4.70;309.95;2;27710535#1_0;13.03;0.00;5.38;DEFAULT_VEHTYPE;-1.656217;42.807630
4.70;74.49;3;817341820#0_0;8.54;0.00;3.61;DEFAULT_VEHTYPE;-1.641613;42.806523
4.70;112.66;4;189609904#1_0;5.79;0.00;1.66;DEFAULT_VEHTYPE;-1.652502;42.808684
4.80;134.41;0;26129071#3_0;29.36;0.00;8.77;DEFAULT_VEHTYPE;-1.658042;42.807330
4.80;161.02;1;163498800#1_0;20.34;0.00;7.66;DEFAULT_VEHTYPE;-1.645980;42.813493
4.80;309.95;2;27710535#1_0;13.59;0.00;5.58;DEFAULT_VEHTYPE;-1.656222;42.807634
4.80;74.49;3;817341820#0_0;8.91;0.00;3.75;DEFAULT_VEHTYPE;-1.641609;42.806524
4.80;112.66;4;189609904#1_0;5.97;0.00;1.84;DEFAULT_VEHTYPE;-1.652500;42.808684
4.90;134.41;0;26129071#3_0;30.23;0.00;8.76;DEFAULT_VEHTYPE;-1.658034;42.807324
4.90;161.02;1;163498800#1_0;21.11;0.00;7.70;DEFAULT_VEHTYPE;-1.645977;42.813487
4.90;309.95;2;27710535#1_0;14.16;0.00;5.73;DEFAULT_VEHTYPE;-1.656227;42.807637
4.90;74.49;3;817341820#0_0;9.30;0.00;3.92;DEFAULT_VEHTYPE;-1.641604;42.806524
4.90;112.66;4;189609904#1_0;6.18;0.00;2.06;DEFAULT_VEHTYPE;-1.652498;42.808683
5.00;134.41;0;26129071#3_0;31.11;0.00;8.79;DEFAULT_VEHTYPE;-1.658027;42.807319
5.00;161.02;1;163498800#1_0;21.88;0.00;7.70;DEFAULT_VEHTYPE;-1.645974;42.813480
5.00;309.95;2;27710535#1_0;14.75;0.00;5.95;DEFAULT_VEHTYPE;-1.656233;42.807640
5.00;74.18;3;817341820#0_0;9.72;0.00;4.16;DEFAULT_VEHTYPE;-1.641599;42.806526
5.00;112.66;4;189609904#1_0;6.40;0.00;2.25;DEFAULT_VEHTYPE;-1.652495;42.808682
5.00;316.67;5;1180739361#0_0;5.10;0.00;0.00;DEFAULT_VEHTYPE;-1.643255;42.810765
5.10;134.41;0;26129071#3_0;31.99;0.00;8.80;DEFAULT_VEHTYPE;-1.658019;42.807313
5.10;161.02;1;163498800#1_0;22.66;0.00;7.73;DEFAULT_VEHTYPE;-1.645971;42.813473
5.10;309.95;2;27710535#1_0;15.37;0.00;6.14;DEFAULT_VEHTYPE;-1.656238;42.807644
5.10;73.73;3;817341820#0_0;10.15;0.00;4.33;DEFAULT_VEHTYPE;-1.641594;42.806527
5.10;112.66;4;189609904#1_0;6.65;0.00;2.45;DEFAULT_VEHTYPE;-1.652492;42.808681
5.10;316.67;5;1180739361#0_0;5.13;0.00;0.26;DEFAULT_VEHTYPE;-1.643255;42.810766
5.20;134.41;0;26129071#3_0;32.87;0.00;8.82;DEFAULT_VEHTYPE;-1.658012;42.807307
5.20;161.02;1;163498800#1_0;23.44;0.00;7.79;DEFAULT_VEHTYPE;-1.645968;42.813467
5.20;309.95;2;27710535#1_0;16.00;0.00;6.28;DEFAULT_VEHTYPE;-1.656244;42.807648
5.20;73.25;3;817341820#0_0;10.61;0.00;4.58;DEFAULT_VEHTYPE;-1.641589;42.806528
5.20;112.66;4;189609904#1_0;6.91;0.00;2.64;DEFAULT_VEHTYPE;-1.652489;42.808680
5.20;316.67;5;1180739361#0_0;5.18;0.00;0.52;DEFAULT_VEHTYPE;-1.643256;42.810766
5.30;134.41;0;26129071#3_0;33.75;0.00;8.73;DEFAULT_VEHTYPE;-1.658004;42.807302
5.30;161.02;1;163498800#1_0;24.21;0.00;7.75;DEFAULT_VEHTYPE;-1.645966;42.813460
5.30;309.95;2;27710535#1_0;16.65;0.00;6.48;DEFAULT_VEHTYPE;-1.656250;42.807652
5.30;72.75;3;817341820#0_0;11.09;0.00;4.80;DEFAULT_VEHTYPE;-1.641583;42.806530
5.30;112.66;4;189609904#1_0;7.19;0.00;2.77;DEFAULT_VEHTYPE;-1.652486;42.808679
5.30;316.67;5;1180739361#0_0;5.25;0.00;0.76;DEFAULT_VEHTYPE;-1.643256;42.810766
5.40;134.41;0;26129071#3_0;34.63;0.00;8.80;DEFAULT_VEHTYPE;-1.657997;42.807296
5.40;161.02;1;163498800#1_0;24.98;0.00;7.70;DEFAULT_VEHTYPE;-1.645963;42.813454
5.40;309.95;2;27710535#1_0;17.32;0.00;6.74;DEFAULT_VEHTYPE;-1.656257;42.807656
5.40;72.23;3;817341820#0_0;11.59;0.00;5.02;DEFAULT_VEHTYPE;-1.641578;42.806531
5.40;112.66;4;189609904#1_0;7.49;0.00;2.97;DEFAULT_VEHTYPE;-1.652483;42.808678
5.40;316.67;5;1180739361#0_0;5.35;0.00;1.00;DEFAULT_VEHTYPE;-1.643257;42.810767
5.50;134.41;0;26129071#3_0;35.51;0.00;8.79;DEFAULT_VEHTYPE;-1.657989;42.807291
5.50;161.02;1;163498800#1_0;25.76;0.00;7.76;DEFAULT_VEHTYPE;-1.645960;42.813447
5.50;309.95;2;27710535#1_0;18.02;0.00;6.98;DEFAULT_VEHTYPE;-1.656263;42.807660
5.50;71.69;3;817341820#0_0;12.11;0.00;5.18;DEFAULT_VEHTYPE;-1.641572;42.806533
5.50;112.66;4;189609904#1_0;7.80;0.00;3.14;DEFAULT_VEHTYPE;-1.652479;42.808677
